テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力データ,手順,期待結果,確認方法・証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-011,TD012,TV012,TA003,コードベース,Unit,高,TD012 翌月初)`,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,翌月初)`。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_011@example.test、対象データ名は TC-CB-011 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「翌月初)`」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-012,TD012,TV012,TA003,コードベース,Unit,高,TD012 23:59,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,23:59。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_012@example.test、対象データ名は TC-CB-012 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「23:59」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-013,TD013,TV013,TA003,コードベース,Unit,高,TD013 終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割01,TaskForm、README の仕様を確認できるテストデータを用意し、対象設計 TD013 の条件を再現する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td013_013@example.test、対象データ名は TC-CB-013 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと のうち「終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、README,"R003, R007",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-014,TD013,TV013,TA003,コードベース,Unit,高,TD013 終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割02,TaskForm、README の仕様を確認できるテストデータを用意し、対象設計 TD013 の条件を再現する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td013_014@example.test、対象データ名は TC-CB-014 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと のうち「終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、README,"R003, R007",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-015,TD013,TV013,TA003,コードベース,Unit,高,TD013 終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割03,TaskForm、README の仕様を確認できるテストデータを用意し、対象設計 TD013 の条件を再現する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td013_015@example.test、対象データ名は TC-CB-015 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと のうち「終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、README,"R003, R007",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-016,TD013,TV013,TA003,コードベース,Unit,高,TD013 終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割04,TaskForm、README の仕様を確認できるテストデータを用意し、対象設計 TD013 の条件を再現する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td013_016@example.test、対象データ名は TC-CB-016 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと のうち「終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、README,"R003, R007",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-017,TD013,TV013,TA003,コードベース,Unit,高,TD013 終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割05,TaskForm、README の仕様を確認できるテストデータを用意し、対象設計 TD013 の条件を再現する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td013_017@example.test、対象データ名は TC-CB-017 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと のうち「終了<=開始、中断<=開始、再開<中断、欠落日時を保存できないこと 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、README,"R003, R007",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-018,TD014,TV014,TA003,コードベース,Unit,高,TD014 複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割01,`getActualMinutes` の仕様を確認できるテストデータを用意し、対象設計 TD014 の条件を再現する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td014_018@example.test、対象データ名は TC-CB-018 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること のうち「複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,`getActualMinutes`,"R003, R006",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-019,TD014,TV014,TA003,コードベース,Unit,高,TD014 複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割02,`getActualMinutes` の仕様を確認できるテストデータを用意し、対象設計 TD014 の条件を再現する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td014_019@example.test、対象データ名は TC-CB-019 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること のうち「複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,`getActualMinutes`,"R003, R006",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-020,TD014,TV014,TA003,コードベース,Unit,高,TD014 複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割03,`getActualMinutes` の仕様を確認できるテストデータを用意し、対象設計 TD014 の条件を再現する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td014_020@example.test、対象データ名は TC-CB-020 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること のうち「複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,`getActualMinutes`,"R003, R006",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-021,TD014,TV014,TA003,コードベース,Unit,高,TD014 複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割04,`getActualMinutes` の仕様を確認できるテストデータを用意し、対象設計 TD014 の条件を再現する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td014_021@example.test、対象データ名は TC-CB-021 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること のうち「複数の終了済みセッションと進行中の開放セッションを、状態に応じて重複なく合計すること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,`getActualMinutes`,"R003, R006",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-022,TD015,TV015,TA003,コードベース,Unit,高,TD015 中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割01,README 実績時間 の仕様を確認できるテストデータを用意し、対象設計 TD015 の条件を再現する。,中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td015_022@example.test、対象データ名は TC-CB-022 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,中断中は開放区間を加算せず、再開後から実績加算を再開すること のうち「中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 実績時間,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-023,TD015,TV015,TA003,コードベース,Unit,高,TD015 中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割02,README 実績時間 の仕様を確認できるテストデータを用意し、対象設計 TD015 の条件を再現する。,中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td015_023@example.test、対象データ名は TC-CB-023 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,中断中は開放区間を加算せず、再開後から実績加算を再開すること のうち「中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 実績時間,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-024,TD015,TV015,TA003,コードベース,Unit,高,TD015 中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割03,README 実績時間 の仕様を確認できるテストデータを用意し、対象設計 TD015 の条件を再現する。,中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td015_024@example.test、対象データ名は TC-CB-024 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,中断中は開放区間を加算せず、再開後から実績加算を再開すること のうち「中断中は開放区間を加算せず、再開後から実績加算を再開すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 実績時間,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-025,TD018,TV018,TA004,コードベース,Unit,中,TD018 境界日前,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD018 の条件を再現する。,境界日前。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td018_025@example.test、対象データ名は TC-CB-025 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,同日、月末、年末、2月28日・29日の期間境界で生成件数と日時が正しいこと のうち「境界日前」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R004, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-026,TD018,TV018,TA004,コードベース,Unit,中,TD018 当日,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD018 の条件を再現する。,当日。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td018_026@example.test、対象データ名は TC-CB-026 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,同日、月末、年末、2月28日・29日の期間境界で生成件数と日時が正しいこと のうち「当日」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R004, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-027,TD018,TV018,TA004,コードベース,Unit,中,TD018 翌日 構造値: SSI014: 期間開始日・終了日を含む,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD018 の条件を再現する。,翌日 構造値: SSI014: 期間開始日・終了日を含む。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td018_027@example.test、対象データ名は TC-CB-027 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,同日、月末、年末、2月28日・29日の期間境界で生成件数と日時が正しいこと のうち「翌日 構造値: SSI014: 期間開始日・終了日を含む」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R004, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-028,TD018,TV018,TA004,コードベース,Unit,中,TD018 同日,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD018 の条件を再現する。,同日。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td018_028@example.test、対象データ名は TC-CB-028 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,同日、月末、年末、2月28日・29日の期間境界で生成件数と日時が正しいこと のうち「同日」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R004, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
