テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力データ,手順,期待結果,確認方法・証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,ブラウザ/プロジェクト結果,Bug ID,実行メモ
TC-E2E-038,TD023,TV023,TA005,E2E自動,E2E,中,TD023 日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割01,F201-F205 の仕様を確認できるテストデータを用意し、対象設計 TD023 の条件を再現する。,日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td023_038@example.test、対象データ名は TC-E2E-038 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日・週・月の各ビューに予定、実績、セッションがJSTで表示されること のうち「日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F201-F205,"R005, R014",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-039,TD023,TV023,TA005,E2E自動,E2E,中,TD023 日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割02,F201-F205 の仕様を確認できるテストデータを用意し、対象設計 TD023 の条件を再現する。,日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td023_039@example.test、対象データ名は TC-E2E-039 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日・週・月の各ビューに予定、実績、セッションがJSTで表示されること のうち「日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F201-F205,"R005, R014",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-040,TD023,TV023,TA005,E2E自動,E2E,中,TD023 日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割03,F201-F205 の仕様を確認できるテストデータを用意し、対象設計 TD023 の条件を再現する。,日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td023_040@example.test、対象データ名は TC-E2E-040 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日・週・月の各ビューに予定、実績、セッションがJSTで表示されること のうち「日・週・月の各ビューに予定、実績、セッションがJSTで表示されること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F201-F205,"R005, R014",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-041,TD025,TV025,TA005,E2E自動,E2E,中,TD025 日,CalendarPage の仕様を確認できるテストデータを用意し、対象設計 TD025 の条件を再現する。,日。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td025_041@example.test、対象データ名は TC-E2E-041 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,前後移動、今日へ戻る、ビュー切替後に表示期間と選択日が矛盾しないこと のうち「日」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,CalendarPage,R005,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-042,TD025,TV025,TA005,E2E自動,E2E,中,TD025 週,CalendarPage の仕様を確認できるテストデータを用意し、対象設計 TD025 の条件を再現する。,週。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td025_042@example.test、対象データ名は TC-E2E-042 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,前後移動、今日へ戻る、ビュー切替後に表示期間と選択日が矛盾しないこと のうち「週」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,CalendarPage,R005,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-043,TD025,TV025,TA005,E2E自動,E2E,中,TD025 月,CalendarPage の仕様を確認できるテストデータを用意し、対象設計 TD025 の条件を再現する。,月。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td025_043@example.test、対象データ名は TC-E2E-043 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,前後移動、今日へ戻る、ビュー切替後に表示期間と選択日が矛盾しないこと のうち「月」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,CalendarPage,R005,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-044,TD025,TV025,TA005,E2E自動,E2E,中,TD025 前,CalendarPage の仕様を確認できるテストデータを用意し、対象設計 TD025 の条件を再現する。,前。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td025_044@example.test、対象データ名は TC-E2E-044 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,前後移動、今日へ戻る、ビュー切替後に表示期間と選択日が矛盾しないこと のうち「前」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,CalendarPage,R005,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-045,TD025,TV025,TA005,E2E自動,E2E,中,TD025 次,CalendarPage の仕様を確認できるテストデータを用意し、対象設計 TD025 の条件を再現する。,次。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td025_045@example.test、対象データ名は TC-E2E-045 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,前後移動、今日へ戻る、ビュー切替後に表示期間と選択日が矛盾しないこと のうち「次」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,CalendarPage,R005,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-046,TD026,TV026,TA005,E2E自動,E2E,高,TD026 開始欠落,README 未スケジュール の仕様を確認できるテストデータを用意し、対象設計 TD026 の条件を再現する。,開始欠落。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td026_046@example.test、対象データ名は TC-E2E-046 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,予定開始または終了が欠けた未完了タスクだけが未スケジュールへ表示されること のうち「開始欠落」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README 未スケジュール,"R005, R007",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-047,TD026,TV026,TA005,E2E自動,E2E,高,TD026 終了欠落,README 未スケジュール の仕様を確認できるテストデータを用意し、対象設計 TD026 の条件を再現する。,終了欠落。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td026_047@example.test、対象データ名は TC-E2E-047 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,予定開始または終了が欠けた未完了タスクだけが未スケジュールへ表示されること のうち「終了欠落」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README 未スケジュール,"R005, R007",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-048,TD026,TV026,TA005,E2E自動,E2E,高,TD026 両方欠落,README 未スケジュール の仕様を確認できるテストデータを用意し、対象設計 TD026 の条件を再現する。,両方欠落。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td026_048@example.test、対象データ名は TC-E2E-048 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,予定開始または終了が欠けた未完了タスクだけが未スケジュールへ表示されること のうち「両方欠落」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README 未スケジュール,"R005, R007",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-049,TD026,TV026,TA005,E2E自動,E2E,高,TD026 完了,README 未スケジュール の仕様を確認できるテストデータを用意し、対象設計 TD026 の条件を再現する。,完了。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td026_049@example.test、対象データ名は TC-E2E-049 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,予定開始または終了が欠けた未完了タスクだけが未スケジュールへ表示されること のうち「完了」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README 未スケジュール,"R005, R007",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-050,TD049,TV049,TA009,E2E自動,E2E,中,TD049 CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割01,README エクスポート の仕様を確認できるテストデータを用意し、対象設計 TD049 の条件を再現する。,CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td049_050@example.test、対象データ名は TC-E2E-050 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること のうち「CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README エクスポート,R009,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-051,TD049,TV049,TA009,E2E自動,E2E,中,TD049 CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割02,README エクスポート の仕様を確認できるテストデータを用意し、対象設計 TD049 の条件を再現する。,CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td049_051@example.test、対象データ名は TC-E2E-051 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること のうち「CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README エクスポート,R009,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-052,TD049,TV049,TA009,E2E自動,E2E,中,TD049 CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割03,README エクスポート の仕様を確認できるテストデータを用意し、対象設計 TD049 の条件を再現する。,CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td049_052@example.test、対象データ名は TC-E2E-052 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること のうち「CSVがBOM付きUTF-8で全タスクと選択項目を正しい列順で出力すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README エクスポート,R009,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-053,TD050,TV050,TA009,E2E自動,E2E,高,TD050 日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割01,utils export の仕様を確認できるテストデータを用意し、対象設計 TD050 の条件を再現する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td050_053@example.test、対象データ名は TC-E2E-053 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること のうち「日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,utils export,"R009, R015",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-054,TD050,TV050,TA009,E2E自動,E2E,高,TD050 日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割02,utils export の仕様を確認できるテストデータを用意し、対象設計 TD050 の条件を再現する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td050_054@example.test、対象データ名は TC-E2E-054 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること のうち「日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,utils export,"R009, R015",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-055,TD050,TV050,TA009,E2E自動,E2E,高,TD050 日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割03,utils export の仕様を確認できるテストデータを用意し、対象設計 TD050 の条件を再現する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td050_055@example.test、対象データ名は TC-E2E-055 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること のうち「日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,utils export,"R009, R015",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-056,TD050,TV050,TA009,E2E自動,E2E,高,TD050 日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割04,utils export の仕様を確認できるテストデータを用意し、対象設計 TD050 の条件を再現する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td050_056@example.test、対象データ名は TC-E2E-056 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること のうち「日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,utils export,"R009, R015",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-057,TD050,TV050,TA009,E2E自動,E2E,高,TD050 日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割05,utils export の仕様を確認できるテストデータを用意し、対象設計 TD050 の条件を再現する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td050_057@example.test、対象データ名は TC-E2E-057 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること のうち「日本語、カンマ、引用符、改行、絵文字をCSV/テキストで欠損なくエスケープすること 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,utils export,"R009, R015",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-058,TD051,TV051,TA009,E2E自動,E2E,中,TD051 3状態,F112、F116-F117 の仕様を確認できるテストデータを用意し、対象設計 TD051 の条件を再現する。,3状態。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td051_058@example.test、対象データ名は TC-E2E-058 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、フィルター適用中、項目未選択時の出力範囲と案内が仕様どおりであること のうち「3状態」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F112、F116-F117,R009,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-059,TD051,TV051,TA009,E2E自動,E2E,中,TD051 3状態派生01,F112、F116-F117 の仕様を確認できるテストデータを用意し、対象設計 TD051 の条件を再現する。,3状態派生01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td051_059@example.test、対象データ名は TC-E2E-059 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、フィルター適用中、項目未選択時の出力範囲と案内が仕様どおりであること のうち「3状態派生01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F112、F116-F117,R009,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-060,TD051,TV051,TA009,E2E自動,E2E,中,TD051 3状態派生02,F112、F116-F117 の仕様を確認できるテストデータを用意し、対象設計 TD051 の条件を再現する。,3状態派生02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td051_060@example.test、対象データ名は TC-E2E-060 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、フィルター適用中、項目未選択時の出力範囲と案内が仕様どおりであること のうち「3状態派生02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F112、F116-F117,R009,作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
TC-E2E-061,TD073,TV073,TA015,E2E自動,E2E,高,TD073 AC001のタスク登録が一覧表示と再読込後の保持まで成功すること。代表条件1件を独立判定する 分割01,テスト計画 AC001 の仕様を確認できるテストデータを用意し、対象設計 TD073 の条件を再現する。,AC001のタスク登録が一覧表示と再読込後の保持まで成功すること。代表条件1件を独立判定する 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td073_061@example.test、対象データ名は TC-E2E-061 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,AC001のタスク登録が一覧表示と再読込後の保持まで成功すること。代表条件1件を独立判定する のうち「AC001のタスク登録が一覧表示と再読込後の保持まで成功すること。代表条件1件を独立判定する 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,テスト計画 AC001,"R002, R012",作成済み,N/A,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:N/A(skipped),,Playwright結果がskippedまたは実行結果なしのためN/A
